en	phonetic	cn	example	exampleCn	synonym	root
assume	/əˈsjuːm/	v. 假定	Let's assume he is right.	我们假定他是对的。	同义：suppose, bear反义：doubt	as 加强 + sume 拿取
attach	/əˈtætʃ/	v. 附上	Please attach the file to the email.	请把文件附在邮件里。		
attain	/əˈteɪn/	v. 达到	She attained her goal at last.	她终于达到了目标。		
attitude	/ˈætɪtjuːd/	n. 态度	A positive attitude helps a lot.	积极的态度很有帮助。	同义：opinion, viewpoint	at 朝向 + tude 状态
attract	/əˈtrækt/	v. 吸引	The city attracts many tourists.	这座城市吸引了很多游客。	同义：draw, charm反义：repel	at 加强 + tract 拉扯
audience	/ˈɔːdiəns/	n. 观众	The audience clapped loudly.	观众们大声鼓掌。	同义：listeners	aud 听 + ience
authority	/ɔːˈθɒrəti/	n. 权威；当局	The local authority made a decision.	地方当局做出了决定。		
available	/əˈveɪləbl/	adj. 可获得的	Tickets are still available.	票仍然有售。	同义：accessible, free反义：unavailable	a 加强 + vail 有用 + able
avoid	/əˈvɔɪd/	v. 避免	Avoid making the same mistake.	避免犯同样的错误。	同义：escape, prevent反义：face	a 远离 + void 空（躲开）
aware	/əˈweə(r)/	adj. 意识到的	Be aware of the danger.	要意识到危险。	同义：conscious反义：unaware	a 加强 + ware 知晓
balance	/ˈbæləns/	n. 平衡	Keep a balance between work and rest.	保持工作与休息的平衡。	同义：steady反义：unbalanced	bi 二 + lance 秤
bargain	/ˈbɑːɡən/	n. 便宜货 v. 讨价还价	This coat was a real bargain.	这件外套真是物美价廉。		
barrier	/ˈbæriə(r)/	n. 障碍	Language is not a barrier anymore.	语言不再是障碍。		
behave	/bɪˈheɪv/	v. 表现	The children behaved well.	孩子们表现很好。		
benefit	/ˈbenɪfɪt/	n. 好处 v. 受益	Exercise benefits your health.	锻炼有益于健康。	同义：advantage, profit反义：harm	bene 好 + fit 做
bind	/baɪnd/	v. 捆绑；约束	They are bound by the agreement.	他们受协议的约束。		
border	/ˈbɔːdə(r)/	n. 边界	They crossed the border at night.	他们在夜里越过了边界。		
brief	/briːf/	adj. 简短的	He gave a brief introduction.	他做了简短的介绍。	同义：short反义：long	brev 简短词根
budget	/ˈbʌdʒɪt/	n. 预算	We must stay within the budget.	我们必须控制在预算内。		
burden	/ˈbɜːdn/	n. 负担	Don't put too much burden on yourself.	不要给自己太大负担。	同义：load反义：relief	bur 承载 + den
campaign	/kæmˈpeɪn/	n. 运动；活动	They started a campaign for clean water.	他们发起了一场清洁用水运动。		
candidate	/ˈkændɪdət/	n. 候选人	He is a strong candidate for the job.	他是这份工作的有力候选人。	同义：exam-taker	candid 坦白 + ate
capacity	/kəˈpæsəti/	n. 容量；能力	The hall has a capacity of 800 people.	这个大厅能容纳八百人。		
career	/kəˈrɪə(r)/	n. 事业	She chose teaching as her career.	她选择教书作为职业。	同义：occupation	car 路途
cautious	/ˈkɔːʃəs/	adj. 谨慎的	Be cautious when crossing the road.	过马路时要小心。		
celebrate	/ˈselɪbreɪt/	v. 庆祝	We celebrated her birthday together.	我们一起庆祝了她的生日。		
challenge	/ˈtʃælɪndʒ/	n. 挑战	Facing challenges makes us stronger.	面对挑战让我们更强大。	同义：difficulty反义：easy	chal 对抗
character	/ˈkærəktə(r)/	n. 性格；角色	He has a strong character.	他性格坚强。	同义：personality	char 刻画
charge	/tʃɑːdʒ/	v. 收费 n. 费用	The service is free of charge.	这项服务是免费的。	同义：fee, accuse	car 装载
circumstance	/ˈsɜːkəmstəns/	n. 情况；环境	Under no circumstances give up.	在任何情况下都不要放弃。	同义：situation	circum 环绕 + stance
claim	/kleɪm/	v. 声称	He claimed that he was innocent.	他声称自己是无辜的。	同义：assert, demand反义：deny	clam 呼喊
classify	/ˈklæsɪfaɪ/	v. 分类	Books are classified by subject.	书籍按主题分类。	同义：sort反义：mix	class 类别 + ify
combine	/kəmˈbaɪn/	v. 结合	Combine work with rest.	劳逸结合。	同义：unite反义：separate	com 共同 + bine 捆绑
comment	/ˈkɒment/	n. 评论	Please leave a comment below.	请在下方留言评论。	同义：remark	com 共同 + ment 思考
commit	/kəˈmɪt/	v. 犯（错）；承诺	He committed himself to the work.	他全身心投入工作。	同义：devote反义：quit	com 共同 + mit 派送
community	/kəˈmjuːnəti/	n. 社区	We serve the local community.	我们为当地社区服务。	同义：group	com 共同 + mun + ity
compare	/kəmˈpeə(r)/	v. 比较	Compare the two answers carefully.	仔细比较这两个答案。	同义：contrast反义：ignore	com 对等 + pare
compete	/kəmˈpiːt/	v. 竞争	Many companies compete for the market.	许多公司争夺市场。	同义：rival反义：cooperate	com 共同 + pet 追求
complex	/ˈkɒmpleks/	adj. 复杂的	This is a complex problem.	这是一个复杂的问题。	同义：complicated反义：simple	com 共同 + plex 折叠（多层）
able	/ˈeɪbl/	adj. 能够的；有才干的	You are able to finish this task alone.	你可以独立完成这项任务。	同义：capable反义：unable	ab 拥有 + le 形容词后缀
abnormal	/æbˈnɔːml/	adj. 反常的，异常	The abnormal weather affects crops.	反常天气影响农作物生长。	同义：unusual, odd反义：normal	ab 偏离 + norm 标准 + al
about	/əˈbaʊt/	prep. 关于；大约	We talked about our future plans.	我们聊了未来的规划。	同义：regarding, roughly	a 朝向 + out 外部
above	/əˈbʌv/	prep. 在… 上方；超过	The plane flies above the clouds.	飞机在云层上方飞行。	同义：over反义：below	a 在上 + ve 方位后缀
abroad	/əˈbrɔːd/	adv. 在国外，到海外	Many students choose to study abroad.	很多学生选择出国留学。	同义：overseas	a 向外 + broad 广阔（广阔天地）
absent	/ˈæbsənt/	adj. 缺席；缺少	He was absent from yesterday’s class.	他昨天旷课了。	同义：missing反义：present	ab 离开 + sent 存在
absolute	/ˈæbsəluːt/	adj. 绝对；完全	We need absolute silence in the library.	图书馆需要绝对安静。	同义：complete, total反义：relative	ab 脱离 + solute 松开（无约束）
abstract	/ˈæbstrækt/	adj. 抽象 n. 摘要	Abstract poems are hard to understand.	抽象诗歌很难读懂。	同义：theoretical反义：concrete	ab 远离 + tract 抽取
abundant	/əˈbʌndənt/	adj. 丰富，充裕	This city has abundant fresh water resources.	这座城市淡水资源充足。	同义：plentiful, ample反义：scarce	ab 溢出 + und 流动 + ant
accelerate	/əkˈseləreɪt/	v. 加速；促进	New policies accelerate economic recovery.	新政策加速经济复苏。	同义：speed up, promote反义：decelerate	ac 加强 + celer 速度 + ate
accent	/ˈæksent/	n. 口音；重音	She speaks English with a soft southern accent.	她说英语带有柔和南方口音。	同义：pronunciation	ac 加强 + cent 歌唱重音
accept	/əkˈsept/	v. 接受；承认	I sincerely accept your valuable advice.	我真诚接受你的宝贵建议。	同义：receive, admit反义：refuse, reject	ac 加强 + cept 拿取
accident	/ˈæksɪdənt/	n. 事故；意外	The traffic accident happened at midnight.	这场交通事故发生在午夜。	同义：incident, mishap	ac 偶然 + dent 发生
according	/əˈkɔːdɪŋ/	adv. 根据	According to the report, prices will rise.	根据报告，物价将会上涨。	同义：based on	ac 匹配 + cord 心（契合）
account	/əˈkaʊnt/	n. 账户；描述 v. 解释	I opened a savings account last month.	我上个月开了储蓄账户。	同义：record, explain	ac 加强 + count 计算
accuse	/əˈkjuːz/	v. 指责；控告	People accuse him of breaking the rule.	大家指责他违反规定。	同义：blame, charge反义：defend	ac 朝向 + cuse 理由（追责）
across	/əˈkrɒs/	prep. 穿过；横跨	Walk across the street carefully.	小心穿过马路。	同义：cross	a 穿过 + cross 交叉
act	/ækt/	v. 行动；扮演 n. 行为	We must act quickly to solve the problem.	我们必须迅速行动解决问题。	同义：behave, deed	act 做，行动
action	/ˈækʃn/	n. 行动；举措	Actions speak louder than words.	行动胜于言语。	同义：movement, measure	act 行动 + ion 名词后缀
active	/ˈæktɪv/	adj. 积极；活跃	He is an active participant in class discussion.	他课堂讨论十分积极。	同义：energetic反义：inactive	act 行动 + ive 形容词后缀
activity	/ækˈtɪvəti/	n. 活动；活跃度	After-school activities enrich students’ lives.	课外活动丰富学生生活。	同义：event, practice	active 活跃 + ity 名词后缀
actual	/ˈæktʃuəl/	adj. 真实，实际	The actual cost is lower than we thought.	实际成本比我们预想更低。	同义：real, true反义：imaginary	act 事实 + ual
actually	/ˈæktʃuəli/	adv. 事实上	Actually, I don’t agree with this opinion.	事实上我并不认同这个观点。	同义：in fact	actual 真实 + ly 副词后缀
add	/æd/	v. 添加；增加	Add some milk to the coffee to taste better.	往咖啡加牛奶口感更好。	同义：increase反义：subtract	ad 叠加
addition	/əˈdɪʃn/	n. 添加；加法	In addition, we need more volunteers.	除此之外我们还需要更多志愿者。	同义：increase反义：reduction	add 增加 + ion
additional	/əˈdɪʃənl/	adj. 额外的	We need additional time to finish the paper.	我们需要额外时间写完论文。	同义：extra, spare	addition 添加 + al
admit	/ədˈmɪt/	v. 承认；准许进入	He admits his mistakes bravely.	他勇敢承认自己的错误。	同义：acknowledge, allow反义：deny	ad 朝向 + mit 发送（放行）
advice	/ədˈvaɪs/	n. 建议，忠告	My teacher gives me useful study advice.	老师给我实用学习建议。	同义：suggestion	ad 朝向 + vis 看（指点）
advise	/ədˈvaɪz/	v. 劝告；建议	I advise you to get up early to memorize words.	我建议早起背单词。	同义：suggest, recommend	advice 名词动词变形
afraid	/əˈfreɪd/	adj. 害怕；担心	Don’t be afraid of speaking English in public.	不要害怕当众说英语。	同义：scared, fearful反义：brave	a 充满 + fray 惊吓
after	/ˈɑːftə(r)/	prep. 在… 之后	We will have a rest after class.	下课后我们休息。	同义：behind反义：before	aft 后方 + er
again	/əˈɡen/	adv. 再次；又	Please read the word again aloud.	请再大声读一遍这个单词。	同义：once more	a 再 + gain 前行
against	/əˈɡenst/	prep. 反对；倚靠	We fight against bad study habits.	我们抵制不良学习习惯。	同义：opposing反义：support	a 朝向 + gain 对立
age	/eɪdʒ/	n. 年龄；时代 v. 变老	People of all ages can learn English.	各年龄段都能学英语。	同义：era, time	古法语 aage
agency	/ˈeɪdʒənsi/	n. 机构；中介	A travel agency arranges our trip.	旅行社安排我们的行程。	同义：institution	act 办事 + ency
agent	/ˈeɪdʒənt/	n. 代理人；代理商	The agent helps us find a flat.	中介帮我们找公寓。	同义：representative	act 行动 + ent 人
ago	/əˈɡəʊ/	adv. 以前	I met her three years ago.	我三年前见过她。	同义：before	a 过去 + go 走
agree	/əˈɡriː/	v. 同意；达成一致	We all agree with this learning plan.	我们都认同这份学习计划。	同义：approve反义：disagree	a 加强 + gre 愉悦（认同）
agreement	/əˈɡriːmənt/	n. 协议；同意	They reached an agreement on the plan.	他们就方案达成共识。	同义：contract, consent	agree 同意 + ment
ahead	/əˈhed/	adv. 在前方；提前	There are many difficulties ahead of us.	前路有许多困难。	同义：forward反义：behind	a 在前 + head 头部
aid	/eɪd/	n.&v. 帮助，援助	Books aid our vocabulary building.	书籍助力积累词汇。	同义：help, assist反义：hinder	拉丁语 auxilium
aim	/eɪm/	n. 目标 v. 旨在	My main aim is to pass CET-4.	我的主要目标是通过四级。	同义：goal, target反义：aimless	古英语 aem
air	/eə(r)/	n. 空气；空中	Fresh air is good for health.	新鲜空气有益健康。	同义：atmosphere	aer 空气词根简写
alarm	/əˈlɑːm/	n. 警报 v. 使惊慌	Set an alarm to get up at 6 a.m.	设早上六点闹钟。	同义：warning, frighten	al 加强 + arm 武器（警示）
album	/ˈælbəm/	n. 相册；专辑	I keep photos in this photo album.	我把照片存在这本相册里。	同义：record book	al 白色 + bum 册子
alcohol	/ˈælkəhɒl/	n. 酒精；酒	Drink less alcohol for your health.	为健康少饮酒。		无高频反义
allow	/əˈlaʊ/	v. 允许；容许	The library allows reading quietly.	图书馆允许安静阅读。	同义：permit反义：forbid	a 放宽 + low 限制
almost	/ˈɔːlməʊst/	adv. 几乎，差不多	I almost finish all my homework today.	我今天几乎写完所有作业。	同义：nearly	all 全部 + most 大多
alone	/əˈləʊn/	adj.&adv. 独自；单独	I study alone every night.	我每晚独自学习。	同义：single反义：together	a 完全 + lone 单独
along	/əˈlɒŋ/	prep. 沿着	Walk along the road to the library.	沿着这条路走到图书馆。	同义：beside	a 顺着 + long 长道
already	/ɔːlˈredi/	adv. 已经	I have already memorized 50 words.	我已经背完 50 个单词。	同义：previously	all 全部 + ready 准备好
also	/ˈɔːlsəʊ/	adv. 也；而且	I also like reading besides listening to music.	除听歌我也喜欢阅读。	同义：too, besides	all 全部 + so 如此
alter	/ˈɔːltə(r)/	v. 改变，更改	Alter your bad learning habits timely.	及时改掉不良学习习惯。	同义：change, modify反义：keep	al 其他 + ter 切换
although	/ɔːlˈðəʊ/	conj. 虽然；尽管	Although tired, I stick to recite words.	虽然疲惫，我仍坚持背词。	同义：though	all 全部 + though 尽管
amount	/əˈmaʊnt/	n. 数量 vi. 总计	A large amount of time is spent on English.	大量时间花在英语上。	同义：quantity, total	a 朝向 + mount 堆积
analyse/analyze	/ˈænəlaɪz/	v. 分析，剖析	Analyze your wrong test papers regularly.	定期分析错题。	同义：examine, study反义：combine	ana 分开 + lyse 拆解
analysis	/əˈnæləsɪs/	n. 分析	The analysis of mistakes helps progress.	错题分析有助进步。	同义：research	analyse 名词形式
anger	/ˈæŋɡə(r)/	n. 愤怒 v. 激怒	Don’t let anger affect your judgment.	不要让愤怒影响判断。	同义：rage反义：calm	ang 痛苦 + er 名词后缀
angle	/ˈæŋɡl/	n. 角度；视角	Look at the problem from another angle.	换个角度看问题。	同义：perspective	ang 弯折
animal	/ˈænɪml/	n. 动物	Protect wild animals from being hunted.	保护野生动物免遭猎杀。	同义：creature	anim 生命 + al
answer	/ˈɑːnsə(r)/	n.&v. 回答；答复	Answer the questions briefly in writing.	书面简要回答问题。	同义：reply, respond反义：question	anti 对抗 + swer 回应
any	/ˈeni/	adj. 任何；任一	Any student can join the English club.	任何学生均可加入英语社团。		无反义
anybody	/ˈenibɒdi/	pron. 任何人	Anybody can improve English with effort.	任何人努力都能提升英语。	同义：anyone	any 任何 + body 人
anyone	/ˈeniwʌn/	pron. 任何人	Anyone who persists will succeed.	坚持的人都会成功。	同义：anybody	any 任何 + one 人
anything	/ˈeniθɪŋ/	pron. 任何事	You can ask anything about vocabulary.	单词相关问题你都可以问。	同义：whatever	any 任何 + thing 事物
apart	/əˈpɑːt/	adv. 分开；相距	Keep your notes apart from textbooks.	笔记和课本分开放。	同义：separately反义：together	a 分开 + part 部分
apartment	/əˈpɑːtmənt/	n. 公寓套房	I rent a small apartment near campus.	我在校旁租了一间小公寓。	同义：flat	apart 分开 + ment
appear	/əˈpɪə(r)/	vi. 出现；显得	New words appear in every reading passage.	每篇阅读都会出现生词。	同义：emerge, show反义：disappear	a 加强 + pear 看见
appearance	/əˈpɪərəns/	n. 外貌；出现	Don’t judge a person by appearance.	不要以貌取人。	同义：look, arrival	appear 出现 + ance
appointment	/əˈpɔɪntmənt/	n. 约会；预约	I have an appointment with my tutor.	我和导师有约。	同义：meeting, date	appoint 约定 + ment
area	/ˈeəriə/	n. 区域；领域	The area of English learning covers listening.	英语学习领域包含听力。	同义：field, region	ar 场地词根
argument	/ˈɑːɡjumənt/	n. 争论；论据	His argument about study is reasonable.	他关于学习的论据很合理。	同义：debate, reason	argue 争论 + ment
arrive	/əˈraɪv/	vi. 到达；抵达	Arrive at the classroom ten minutes early.	提前十分钟到教室。	同义：reach反义：depart	ar 到 + rive 河岸
article	/ˈɑːtɪkl/	n. 文章；物品	Read one English article every morning.	每天早上读一篇英文短文。	同义：essay	art 技艺 + icle 小作品
artificial	/ˌɑːtɪˈfɪʃl/	adj. 人造；虚假	This artificial flower looks real.	这朵人造花看起来很逼真。	同义：man-made反义：natural	art 技艺 + fic 制造 + ial
as	/æz/	conj. 因为；如同	As time goes by, vocabulary improves.	随着时间推移词汇量提升。	同义：because, like	古英语 als
ask	/ɑːsk/	v. 询问；请求	Ask your teacher for word memorizing tips.	向老师请教背词技巧。	同义：inquire, request反义：answer	古英语 acsian
assignment	/əˈsaɪnmənt/	n. 作业；任务	Finish your English assignment on time.	按时完成英语作业。	同义：task, homework	assign 分配 + ment
assist	/əˈsɪst/	v. 协助，帮助	Classmates assist each other in memorizing words.	同学互相协助背单词。	同义：aid, help反义：hinder	as 加强 + sist 站立（支撑）
associate	/əˈsəʊsieɪt/	v. 联系；结交	Associate new words with sentences.	把生词和句子关联记忆。	同义：connect, link反义：separate	as 共同 + soci 交往 + ate
association	/əˌsəʊsiˈeɪʃn/	n. 协会；联系	Join the English association to practice oral English.	加入英语社团练口语。	同义：group, connection	associate 联系 + ion
assure	/əˈʃʊə(r)/	v. 保证；使确信	I assure you consistent recitation works.	我保证坚持背诵有用。	同义：guarantee, promise反义：doubt	as 加强 + sure 确信
atmosphere	/ˈætməsfɪə(r)/	n. 大气；氛围	Our class has a good study atmosphere.	我们班级学习氛围浓厚。	同义：air, mood	atmo 空气 + sphere 球体
attempt	/əˈtempt/	v.&n. 尝试；努力	Attempt to memorize 80 words per day.	尝试每天背诵 80 个单词。	同义：try, effort反义：give up	at 朝向 + tempt 试探
attend	/əˈtend/	v. 出席；照料	Attend every English lecture carefully.	认真参加每一场英语讲座。	同义：join, take care反义：miss	at 加强 + tend 专注
attention	/əˈtenʃn/	n. 注意力；关注	Pay full attention to word pronunciation.	专注单词发音。	同义：focus反义：distraction	at 加强 + tent 抓住思绪 + ion
attractive	/əˈtræktɪv/	adj. 吸引人的	This English novel is very attractive.	这本英文小说很吸引人。	同义：appealing反义：boring	attract 吸引 + ive
average	/ˈævərɪdʒ/	adj. 平均；普通 n. 平均值	The average number of words per day is 60.	日均背词平均 60 个。	同义：common, mean反义：special	aver 平分 + age
awake	/əˈweɪk/	adj. 醒着 v. 唤醒	Stay awake when reciting words in morning.	早上背词保持清醒。	同义：wake反义：asleep	a 完全 + wake 醒
award	/əˈwɔːd/	n. 奖项 v. 授予	He gets an award for good English grades.	他英语成绩优异获奖。	同义：prize, grant反义：punish	a 朝向 + ward 守护
back	/bæk/	n. 背部 adv. 返回	Write new words on the back of notebook.	生词写在笔记本背面。	同义：rear, return反义：front	古英语 bæc
basic	/ˈbeɪsɪk/	adj. 基础；基本	Basic words are the core of CET-4.	基础词汇是四级核心。	同义：fundamental反义：advanced	base 基础 + ic
basis	/ˈbeɪsɪs/	n. 基础；依据	Daily recitation is the basis of vocabulary growth.	每日背诵是词汇增长基础。	同义：foundation	base 名词变形
battle	/ˈbætl/	n. 战斗；奋斗	The battle of memorizing words lasts daily.	背单词的战斗每日持续。	同义：fight, struggle	bat 击打 + tle
beauty	/ˈbjuːti/	n. 美丽；美好	The beauty of English lies in sentences.	英语之美在于句子。	同义：charm反义：ugliness	beautiful 名词形式
besides	/bɪˈsaɪdz/	prep. 除… 之外 adv. 此外	Besides words, we practice listening daily.	除背词我们每日练听力。	同义：apart from, moreover	beside 旁边 + s
blame	/bleɪm/	v. 责备 n. 责任	Don’t blame yourself for forgetting words.	不要因遗忘单词自责。	同义：criticize反义：pra	古英语 blama
borrow	/ˈbɒrəʊ/	v. 借入；借用	Borrow an English word book from roommate.	向室友借单词书。	同义：lend（反义）反义：lend	borrow 借进
broad	/brɔːd/	adj. 广阔；广泛	Read broad materials to accumulate words.	广泛阅读积累词汇。	同义：wide反义：narrow	古英语 brād
cancel	/ˈkænsl/	v. 取消；撤销	Don’t cancel your daily word plan.	不要取消每日背词计划。	同义：call off反义：approve	cancel 废除
capable	/ˈkeɪpəbl/	adj. 有能力的	You are capable of mastering 4000 words.	你能掌握四千四级词。	同义：able反义：incap	cap 握住 + able
capital	/ˈkæpɪtl/	n. 首都；资本；大写字母	Write words with capital letters at start.	句首单词大写。	同义：fund, city	cap 头部 + ital
capture	/ˈkæptʃə(r)/	v. 捕获；掌握	Capture new words in reading passages.	在阅读中掌握生词。	同义：grasp, seize反义：release	cap 抓 + ture
careful	/ˈkeəfl/	adj. 仔细；细心	Be careful when reciting similar words.	背诵形近词要细心。	同义：cautious反义：careless	care 小心 + ful 充满
cause	/kɔːz/	n. 原因 v. 导致	Lack of review causes word forgetting.	缺乏复习导致单词遗忘。	同义：lead to, reason反义：effect	caus 驱使
