en	phonetic	cn	example	exampleCn	synonym	root
aggravate	/ˈæɡrəvet/	vt.  加重， 加剧， 使恶化； 激怒， 使恼火	Their money problems were further aggravated by a rise in interest rates.	由于利率上调，他们的财务问题更加严重。	同义：anger	同根：aggravated  加重的；恶化的；aggravating  加重的；令人恼怒的；aggravation  加剧；激怒；更恶化
alleviate	/əˈlivɪˈet/	vt.  减轻； 缓解， 缓和	measures to alleviate poverty	扶贫措施	同义：moderate	同根：alleviative  减轻的；缓解的；alleviation  缓和；镇痛物；alleviative  缓和剂；使减轻之物
allocate	/ˈæləket/	vt.  分配； 分派， 把…拨给	Tickets are limited and will be allocated to those who apply first.	票数有限，将分配给那些先申请的人。	同义：portion, parcel out	同根：allocable  可拨出的；可分配的；allocation  分配，配置；安置；allocator  分配算符
amend	/əˈmɛnd/	vt. 修改，修订，改进 n.  赔罪， 赔偿	The law was amended to include women.	该法律经修改把女性也包括在内。	同义：modify, go straight	同根：amendable  可修正的；amendatory  改正的，修正的；amendment  修正案；改善；改正
ample	/ˈæmpl/	adj. 充足的	We have ample time to prepare.	我们有充足的时间准备。		
amplify	/ˈæmplɪfaɪ/	vt.  放大， 增强； 扩大； 详述， 进一步阐述	an amplified guitar	带有扩音设备的电吉他	同义：extend, expand on	同根：amply  充足地；广大地；amplifier  [电子] 放大器，扩大器；扩音器；amplification  [电子] 放大（率）；扩大；详述
analogy	/əˈnælədʒi/	n.  比拟； 类比， 类推	The analogy between music and fragrance has stuck.	音乐与香味的类比已经深入人心了。	同义：similarity	同根：analog  [自] 模拟的；有长短针的；analogous  类似的；[昆] 同功的；可比拟的；analogue  类似的；相似物的；模拟计算机的
anonymous	/əˈnɑnəməs/	adj.  无名的， 不具名的； 匿名的； 无特色的， 无个性特征的	the anonymous author of a collection of poems	一本诗集的佚名作者	同义：faceless	同根：anonymously  不具名地；化名地；anonymity  匿名；匿名者；无名之辈；anonym  假名；匿名者；化名
applaud	/əˈplɔd/	vi. 鼓掌，喝彩 vt.  向…鼓掌， 向…喝彩； 称赞， 赞许	The audience applauded loudly.	观众掌声雷动。	同义：go along with, cheer for	
arbitrary	/ˈɑːrbətreri/	adj.  随心所欲的； 专断的	an arbitrary decision	武断的决定	同义：artificial	同根：arbitrarily  武断地；反复无常地；专横地；arbitrariness  任意，恣意；专断；霸道
articulate	/ɑrˈtɪkjulet/	adj.  善于表达的， 发音清晰的； 表达得清楚有力的 vt.  明确有力地表达； 清楚地吐， 清晰地发	bright, articulate 17-year-olds	聪明伶俐的17岁少年	同义：pronounce, enunciative	同根：articulated  铰接式的；清晰的；组织缜密的；有关节的；articulatory  关节的；分节的；发音清晰的；articular  [解剖] 关节的
ascend	/əˈsɛnd/	vi. 渐渐上升，升高 vt.  攀登， 登上	The plane ascended rapidly.	飞机迅速爬升。	同义：raise, scale	同根：ascending  上升的；ascendant  上升的；优越的；ascendent  上升的；占优势的
ascribe	/əˈskraɪb/	vt.  把…归因于， 把…归属于	An autopsy eventually ascribed the baby's death to sudden infant death syndrome.	一次尸检最终把这名婴儿的死亡归因于婴儿猝死综合症。	同义：blame	同根：ascribable  可归于...的
assault	/əˈsɔlt/	n.  攻击， 袭击	The refugee camp came under assault again last night.	昨晚难民营再次遭袭。	同义：attack, hit, descend on	同根：assaultive  喜好攻击的；assaulter  殴打者；攻击者
assert	/əˈsɝt/	vt.  肯定地说， 断言； 维护， 坚持； 坚持己见	French cooking, she asserted, is the best in the world.	她坚称法国菜是世界上最好的。	同义：maintain	同根：assertive  肯定的；独断的；坚定而自信的；asserted  宣称的；声称的；assertable  可断言的
avert	/əˈvɝt/	vt.  防止， 避免； 转移	The tragedy could have been averted if the crew had followed safety procedures.	如果乘务人员按照安全规则操作，这场悲剧是可以避免的。	同义：escape	同根：avertable  可避开的；可防止的；avertible  可避免的，可防止的
bleak	/bliːk/	adj. 荒凉的；黯淡的	The future looked bleak then.	那时前途看起来黯淡。		
boost	/bʊst/	v.  推动， 促进， 激励； 替…做广告， 宣扬； 提高， 使增长 n. 提高，增长；推动，激励	The new resort area has boosted tourism.	新的度假区促进了旅游业的发展。	同义：facilitate, pick pocket, assistance	同根：booster  升压机；支持者；扩爆器
brisk	/brɪsk/	adj.  轻快的， 生气勃勃的； 兴隆的， 繁忙活跃的； 寒冷而清新的	a brisk walk	轻快的行走	同义：alive, come alive	同根：briskly  迅速地；活泼地；尖刻地；briskness  活泼；轻快；敏捷
bulk	/bʌlk/	v.  变得越来越大； 使更大 n. 物体，体积；大批	The bulk of consumers are based in towns.	大多数消费者都是城镇居民。	同义：most of, exaggerate	同根：bulky  体积大的；庞大的；笨重的
bureaucracy	/bjʊˈrɑkrəsi/	n.  官僚主义， 官僚作风； 官僚机构； 官僚制度； 官僚	the reduction of unnecessary bureaucracy	消除不必要的官僚体制		同根：bureaucratic  官僚的；官僚政治的；bureaucratically  官僚主义地；bureaucrat  官僚；官僚主义者
catalyst	/ˈkætəlɪst/	n. 催化剂	The internet is a catalyst for change.	互联网是变革的催化剂。		
cater	/ˈketɚ/	vi.  满足需要， 迎合； 提供饮食及服务， 承办酒席	We cater to an exclusive clientele.	我们满足一个特殊客户群的需求。	同义：humor	同根：catering  给养；承办酒席；提供饮食及服务；caterer  备办食物者；承办酒席的人；筹备人；catering  备办食物（cater的ing形式）
cease	/siːs/	v. 停止	The rain ceased at midnight.	午夜时分雨停了。		
clarify	/ˈklærəfaɪ/	v. 澄清	Let me clarify the situation.	让我澄清一下情况。		
cling	/klɪŋ/	vi.  紧紧抓住； 黏着， 挨近； 依附， 依恋； 坚持， 墨守， 忠实于	Some children tend to cling on their first day at school.	有些小孩在上学第一天往往会有恋家的情绪。	同义：stay	
coincide	/,koɪnˈsaɪd/	vi.  同时发生； 相符， 相一致； 位置重合， 重叠	When our vacations coincided, we often holidayed together.	我们的假期要是凑巧赶在一起，我们常常会一同去度假。	同义：cotton	同根：coincident  一致的；符合的；同时发生的；coincidental  巧合的；符合的；暗合的；一致的；coincidentally  巧合地；一致地
collide	/kəˈlaɪd/	vi.  碰撞， 互撞； 冲突， 抵触	A car and a van collided on the motorway.	一辆汽车和一辆小型货车在高速公路上相撞了。	同义：hit	同根：collisional  碰撞引起的；collisionless  无碰撞的；collision  （意见，看法）的抵触，冲突
commence	/kəˈmɛns/	v.  开始	Work will commence on the new building immediately.	新大楼即将破土动工。	同义：institute	同根：commencement  开始，发端；毕业典礼
compensate	/ˈkɑmpɛnset/	v.  补偿， 弥补； 抵消	Because my left eye is so weak, my right eye has to work harder to compensate.	因为我左眼视力差，右眼就要辛苦点来弥补一下。	同义：make good, make good	同根：compensable  可补偿的；应予以补偿的；compensation  补偿；报酬；赔偿金
compile	/kəmˈpaɪl/	vt.  汇编； 编制， 编纂	The document was compiled by the Department of Health.	这份文件是由卫生部汇编的。	同义：to edit	同根：compilation  编辑；compiler  编译器；[计] 编译程序；编辑者，汇编者；compiling  [计] 编译
complement	/ˈkɑːmplɪment/	n. 补充，互为补充的东西；编制名额；装备定额；补语['kɒmplɪm3nt] vt.  补充， 与…相配	The green wallpaper is the perfect complement to the old pine of the dresser.	绿色墙纸是旧松木梳妆台的完美衬托。	同义：make up a loss	同根：complementary  补足的，补充的；complemental  补足的；补充的；补偿的；complementarity  互补性；补充；补足
comply	/kəmˈplaɪ/	vi.  遵从， 依从， 服从	The newspaper was asked by federal agents for assistance and agreed to comply.	联邦探员要求这家报社给予协助，报社同意配合。	同义：engage	
conceive	/kənˈsiv/	vi.  构想出， 设想； 怀孕 vt. 想出，认为；怀	Scientists first conceived the idea of the atomic bomb in the 1930’s.	在20世纪30年代，科学家第一次有了原子弹的设想。	同义：design, allow	
concise	/kənˈsaɪs/	adj.  简明的， 简要的	Your summary should be as clear and concise as possible.	你的总结应该尽可能地明白简洁。	同义：brief	同根：concisely  简明地，简洁地；conciseness  简明，简洁；切除；concision  简洁，简明
condemn	/kənˈdɛm/	vt.  谴责， 指责； 判…刑， 宣告…有罪	Politicians were quick to condemn the bombing.	政治家们立即对爆炸事件进行了谴责。	同义：denounce	同根：condemnatory  处罚的；非难的；定罪的；condemnable  该受责备的，应受谴责的；该罚的；应定罪的，该定罪的；condemnation  谴责；定罪；非难的理由；征用
confer	/kənˈfɝ/	vi. 商谈，商议 vt.  授予， 赋予	He conferred with Hill and the others in his office.	他和希尔以及他办公室里的其他人进行了商议。	同义：afford, arrange	同根：conference  会议；协商；讨论；联盟；conferment  （学位、荣誉的）授予；给予；商量；conferrer  授予者
confidential	/,kɑnfɪˈdɛnʃl/	adj.  秘密的， 机密的； 表示信任的； 担任机密工作的	a confidential government report	一份机密的政府报告	同义：classified	同根：confidence  （美）诈骗的；骗得信任的；confidentially  秘密地；作为心腹话地；confidingly  信任地
conform	/kənˈfɔrm/	vi.  遵守， 适应； 顺从； 相似， 一致， 符合	the pressure on schoolchildren to conform	小学生要顺应社会的压力	同义：accord, accord, united	同根：conformable  一致的；顺从的；适合的；conformably  顺从地；一致地；conformity  一致，适合；符合；相似
consecutive	/kənˈsɛkjətɪv/	adj.  连续的， 连贯的	It had rained for four consecutive days.	雨接连下了四天。	同义：connected	同根：consecutively  连续地
consensus	/kənˈsɛnsəs/	n.  一致， 一致同意	The EU Council of Finance Ministers failed to reach a consensus on the pace of integration.	欧盟财政部长会议未能就一体化的进度达成共识。	同义：accordance	同根：consentaneous  同意的，一致的；consent  同意；（意见等的）一致；赞成；consent  同意；赞成；答应
consolidate	/kənˈsɑlɪdet/	v.  巩固， 加强； 联为一体， 合并	The company has consolidated its position as the country’s leading gas supplier.	这家公司巩固了作为该国主要煤气供应商的地位。	同义：cement, build up	同根：consolidated  巩固的；统一的；整理过的；consolidation  巩固；合并；团结；consolidator  集运商；并装业者
conspicuous	/kənˈspɪkjʊəs/	adj.  显眼的， 明显的	The notice must be displayed in a conspicuous place.	通告一定要贴在显眼的地方。	同义：obvious	同根：conspicuously  显著地，明显地；超群地，惹人注目地；conspicuousness  显而易见；惹人注目；突出
constrain	/kənˈstren/	vt.  限制， 约束； 克制， 抑制	Poor soil has constrained the level of crop production.	贫瘠的土地限制了农作物的产量。	同义：chain	同根：constrained  拘泥的；被强迫的；不舒服的；constrainedly  勉强地；强迫地；不自然地；constraint  [数] 约束；局促，态度不自然；强制
contaminate	/kənˈtæmɪnet/	vt.  弄脏， 污染	Drinking water supplies are believed to have been contaminated.	据信饮用水已受到污染。	同义：soil	同根：contaminated  受污染的；弄脏的；contaminative  污损的；弄脏了的；contamination  污染，玷污；污染物
contemplate	/ˈkɑntəmplet/	vt.  盘算， 计议； 思量， 对…周密考虑； 注视， 凝视	He had even contemplated suicide.	他甚至想过自杀。	同义：watch, puzzle	同根：contemplative  沉思的；冥想的；默想的；contemplation  沉思；注视；意图
contempt	/kənˈtɛmpt/	n.  轻视， 蔑视	The public is treated with contempt by broadcasters.	公众受到了节目主持人的轻蔑对待。	同义：despite	同根：contemptible  可鄙的；卑劣的；可轻视的
contradict	/ˈkɑntrəˈdɪkt/	vt.  反驳， 否认…的真实性； 与…发生矛盾， 与…抵触	Deborah opened her mouth to contradict, but closed it again.	黛博拉张口想要反驳，但又把嘴闭上了。	同义：negative, deny	同根：contradictory  矛盾的；反对的；反驳的；抗辩的；contradictorily  矛盾地；反驳地；逆；contradiction  矛盾；否认；反驳
contrive	/kənˈtraɪv/	vt.  谋划， 策划； 设法做到； 设计， 想出	The lawsuit says oil companies contrived the oil shortage in the 1970s.	诉讼中说，是石油公司策划了20世纪70年代的油荒。	同义：design, to see that	同根：contrived  人为的；做作的；不自然的；contrivance  发明；发明物；想出的办法；计谋；contriver  发明者；创制者；筹划者
controversy	/ˈkɑntrəvɝ​sɪ/	n.  争论， 辩论	a political controversy	政治争议	同义：combat	同根：controversial  有争议的；有争论的；controversially  颇有争议地；引起争议地；controvert  争论；辩论
converge	/kənˈvɝdʒ/	vi.  会合， 互相靠拢； 聚集， 集中； 趋近	The two rivers converge into one near Pittsburgh.	这两条河在匹兹堡附近汇合。	同义：group, cluster	同根：convergent  [数] 收敛的；会聚性的；趋集于一点的；converging  会聚的，收敛；convergence  [数] 收敛；会聚，集合
cordial	/ˈkɔrdʒəl/	adj.  热情友好的， 热诚的	The talks were conducted in a cordial atmosphere.	会谈在友好的气氛中进行。	同义：genuine, a shot in the arm	同根：cordially  诚挚地，诚恳地；友善地；cordiality  热诚；真挚
criterion	/kraɪˈtɪriən/	n.  标准， 准则	the criteria we use to select candidates	我们挑选候选人的标准	同义：standard	
culminate	/ˈkʌlmɪnet/	vi.  告终	They had an argument, which culminated in Tom getting drunk.	他们发生了争论，结果导致汤姆喝醉了酒。	同义：top, fulfill	同根：culmination  顶点；高潮
customary	/ˈkʌstəˈmɛri/	adj.  习惯上的， 惯常的， 合乎习俗的	Barbara answered with her customary enthusiasm.	芭芭拉以惯有的热情作了回答。	同义：usual	同根：custom  定制的，定做的；customarily  通常，习惯上；custom  习惯；风俗；海关
deceive	/dɪˈsiv/	vi.  行骗 vt. 欺骗，蒙蔽	He had been deceived by a young man claiming to be the son of a millionaire.	他被一个自称是百万富翁之子的年轻人骗了。	同义：take in sb	
deduce	/dɪˈdʊs/	vt.  推论， 推断， 演绎	Alison cleverly deduced that I was the author of the letter.	艾莉森聪明地推断出我是这封信的作者。	同义：understand	同根：deductive  演绎的；推论的；推断的；deducible  可推论的；deduction  扣除，减除；推论；减除额
deem	/dim/	vt.  认为， 视为	French and German were deemed essential.	法语和德语被认为是必需的。	同义：count, consider	
deficiency	/dɪˈfɪʃənsi/	n.  缺乏， 不足； 缺点， 缺陷	They did blood tests on him for signs of vitamin deficiency.	他们给他做了血检看是否有缺乏维生素的迹象。	同义：defect	同根：deficient  不足的；有缺陷的；不充分的；deficit  赤字；不足额
deflect	/dɪˈflekt/	v. 使转向	The shield deflected the arrow.	盾牌挡开了箭。		
degrade	/dɪˈɡred/	vt.  降低…的身份， 有辱…的人格； 使降解， 使退化	a movie that degrades women	贬损女性的影片	同义：lower, sink in the scale	同根：degraded  退化的；堕落的；被降级的；degrading  可耻的；丧失体面的；不名誉的；degradation  退化；降格，降级；堕落
deliberate	/dɪˈlɪbərət/	adj.  故意的， 蓄意的； 慎重的， 深思熟虑的 v.  仔细考虑， 思考	a deliberate attempt to humiliate her	对她的故意羞辱	同义：intended, negotiate	同根：deliberative  审议的；慎重的；deliberately  故意地；谨慎地；慎重地；deliberation  审议；考虑；从容；熟思
denote	/dɪˈnot/	vt.  意思是； 表示， 是…的标志	What does the word ‘curriculum’ denote that ‘course’ does not?	curriculum一词的哪些含义是course没有的？	同义：bid	同根：denotative  外延的；指示的；denotation  符号；表示；意义；指示
deprive	/dɪˈpraɪv/	vt.  剥夺， 使丧失	They've been deprived of the fuel necessary to heat their homes.	他们无法得到住房取暖必需的燃料。	同义：shear	同根：deprivation  剥夺；损失；免职
derive	/dɪˈraɪv/	vi.  起源， 衍生 vt. 取得，得到；追溯…的起源或来由	The name Anastasia is derived from a Greek word meaning "of the resurrection."	阿纳斯塔西娅这个名字是从一个意为“复活”的希腊词语衍生而来的。	同义：to originate	同根：derived  导出的；衍生的，派生的；derivational  得来的；诱导的；derivation  引出；来历；词源
descend	/dɪˈsɛnd/	vi. 下来，下降 vt.  走下， 爬下	Our plane started to descend.	我们的飞机开始下降。	同义：decline	同根：descendant  下降的；祖传的；descending  下降的；下行的；descendant  后裔；子孙
designate	/ˈdɛzɪɡnet/	vt.  指派， 委任； 标出； 把…定名为	Buildings are designated by red squares on the map.	在地图上建筑物用红色方块标明。	同义：specify, assigned	同根：designated  指定的；特指的；designer  由设计师专门设计的；享有盛名的；赶时髦的；designative  指定的；指明的；指名的
despise	/dɪˈspaɪz/	vt.  鄙视， 看不起	She despised her neighbours.	她看不起她的邻居。	同义：slight	同根：despised  受轻视的；despised  轻视（despise的过去分词）；看不起
detach	/dɪˈtætʃ/	vt.  拆卸； 使分开， 使分离	Please detach and fill out the application form.	请撕下申请表并填好。	同义：mission	同根：detached  分离的，分开的；超然的；detachable  可分开的；可拆开的；可分遣的；detachment  分离，拆开；超然；分遣；分遣队
diminish	/dɪˈmɪnɪʃ/	vi. 变少，变小，降低 vt.  减少， 减小， 降低	The party’s share of the electorate has diminished steadily.	支持这个政党的选民比例持续下降。	同义：micrify, to cut down	同根：dim  暗淡的，昏暗的；模糊的，看不清的；悲观的，怀疑的；diminished  减弱的；减退了的；dim  笨蛋，傻子
cancel	/ˈkænsl/	vt.  取消， 撤销， 删去	Our flight was cancelled.	我们的航班取消了。	同义：recall, call it off, withdrawal	同根：cancellation  取消；删除
numerous	/ˈnumərəs/	adj.  众多的	Numerous attempts have been made to hide the truth.	为掩盖事实作了很多尝试。	同义：many	同根：numerousness  多数
surgeon	/ˈsɝdʒən/	n.  外科医生	...a heart surgeon.	…一位心脏外科医生。	同义：sawbones	同根：surgical  外科的；手术上的；surgically  如外科手术般地；surgery  外科；外科手术；手术室；诊疗室
analyse	/ˈæn(ə)laɪz/	vt.  分析； 分解， 解析	She still needs to analyse the data.	她仍需要分析这些数据。	同义：study	同根：analytical  分析的；解析的；善于分析的；analytic  分析的；解析的；善于分析的；analyzable  可分析的
abrupt	/əˈbrʌpt/	adj.  突然的， 意外的； 唐突的， 鲁莽的	an abrupt change of plan	计划的突然改变	同义：sudden	同根：abruptly  突然地；唐突地；abruptness  突然；唐突；粗鲁无理；急缓度
spacious	/ˈspeʃəs/	adj.  宽广的， 宽敞的	a spacious living area	宽敞的居住空间	同义：extensive	同根：spacy  广大的；宽大的；spaciously  广大地；宽敞地；spaciousness  宽敞；宽广
disapproval	/ˈdɪsəˈprʊvl/	n.  不赞成	His action had been greeted with almost universal disapproval.	他的行动遭到了几乎一致的反对。	同义：disfavour	同根：disapproving  反对的；不赞成的；disapprovingly  不以为然地；非难地；不赞成地；disapproving  不赞成；不同意（disapprove的ing形式）
spontaneous	/spɑnˈtenɪəs/	adj.  自发的， 无意识的； 自然的， 天真率直的	The crowd gave a spontaneous cheer.	人群自发地欢呼起来。	同义：autonomous	同根：spontaneously  自发地；自然地；不由自主地；spontaneity  自发性；自然发生；spontaneousness  自然；任意
remote	/rɪˈmot/	adj.  遥远的， 偏僻的； 关系疏远的； 脱离的； 绝少的； 微乎其微的； 孤高的， 冷淡的	a remote border town	一个偏远的边境小镇	同义：distant	同根：remotely  遥远地；偏僻地；remoteness  遥远；偏僻；细微；时间久远
cafeteria	/,kæfəˈtɪrɪə/	n.  自助餐馆， 自助食堂	the school cafeteria	学校餐厅	同义：self-service restaurant	
rupture	/ˈrʌptʃɚ/	v.  破裂 n. 破裂，裂开；决裂，断绝	The pipe will rupture at its weakest point.	管道最薄弱的地方会破裂的。	同义：fracture, fracture, crack	同根：ruptured  破裂的；ruptured  rupture（rupture的过去分词）
wreck	/rɛk/	n. 失事，残骸；精神或身体已垮的人 vt.  破坏	He was still alive when they pulled him from the wreck.	他们把他从失事的车辆中拖出来时，他还活着。	同义：destruction, destroy	同根：wrecked  失事的（船）；迷幻的，兴奋的；wreckage  （失事船或飞机等的）残骸；（船只等的）失事；wrecker  使船失事的人，肇事者；失事现场清理人；打捞船
virgin	/ˈvɝdʒɪn/	adj.  未经开发的， 未经使用的， 未经触动的； 处女的 n. 处女，未婚女子	Within 40 years there will be no virgin forest left.	过不了40年原始森林将所剩无几。	同义：stainless, Parthenos	同根：virginal  处女的；无瑕的；virginity  童贞；处女；纯洁；virginal  十六、七世纪的小型有键乐器
afflict	/əˈflɪkt/	vt.  使苦恼， 折磨			同义：harry	同根：afflictive  难受的；苦恼的；给人痛苦的；affliction  苦难；苦恼；折磨
reproach	/rɪˈprotʃ/	n&vt.  责备， 批评	‘You don’t need me,’ she said quietly, without reproach.	“你不需要我。”她语气平静，没有丝毫责备。	同义：blame, blame for	同根：reproachful  责备的；申斥的；非难的；reproachless  无可非议的；无可非难的；reproachfully  责备地
fluctuate	/ˈflʌktʃʊˈet/	vi.  波动， 涨落， 起伏	Insect populations fluctuate wildly from year to year.	昆虫的数量每年变化很大。	同义：wave motion, destabilize	同根：fluctuating  波动的；变动的；fluctuation  起伏，波动；fluctuating  波动（fluctuate的ing形式）
compartment	/kəmˈpɑrtmənt/	n.  卧车包房， 隔间； 分隔的空间	The bag is divided into separate compartments .	这个包有一些独立的隔层。	同义：to divide	同根：compartmental  区划的，分为若干部分的；compart  间隔；compartmentalization  划分；区分
